;data;codice_spira;00:00-01:00;01:00-02:00;02:00-03:00;03:00-04:00;04:00-05:00;05:00-06:00;06:00-07:00;07:00-08:00;08:00-09:00;09:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;20:00-21:00;21:00-22:00;22:00-23:00;23:00-24:00;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;giorno settimana
26483;10/01/2024;2.30 0.127 2 1;418;165;100;66;144;277;574;1593;1907;1646;1588;1643;1714;1716;1785;1820;2016;2117;1999;1858;1348;745;614;632;188;1;spira;580;6122;45190;VIALE SANDRO PERTINI;13345;13882;4000/343434;A;16;S;157;11.309.082.303.102;445.053.154.347.885;44.5053154347885, 11.309082303102;466;Mercoledì
26484;10/01/2024;2.30 2.29 4 1;52;29;15;9;18;52;101;215;314;399;330;253;267;256;265;251;258;296;267;260;181;90;99;69;295;1;spira;35;6841;21400;VIA EMILIA PONENTE;14442;13345;4000/343434;A;16;NO;65;113.090.333.624.097;445.057.316.740.375;44.5057316740375, 11.3090333624097;468;Mercoledì
26485;10/01/2024;2.30 2.30 6 1;237;54;50;38;36;142;560;1249;1093;914;845;772;868;814;717;816;975;986;949;731;492;321;269;180;296;1;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;113.092.167.352.814;445.053.085.046.798;44.5053085046798, 11.3092167352814;469;Mercoledì
26486;10/01/2024;2.30 2.31 8 1;29;7;13;8;16;24;33;63;86;68;77;60;64;57;55;71;69;60;81;57;42;20;24;23;189;1;spira;581;5409;21400;VIA EMILIA PONENTE;13344;8807;4000/343434;A;16;E;247;113.096.947.184.232;445.054.053.954.154;44.5054053954154, 11.3096947184232;470;Mercoledì
26492;10/01/2024;2.82 2.18 2 2;46;24;8;9;11;34;90;232;373;297;322;372;367;342;315;350;434;425;470;394;258;102;74;56;269;1;spira;922;4568;36250;VIA MARZABOTTO;8776;8777;4000/343434;A;300;S;155;113.132.064.397.937;445.039.186.889.583;44.5039186889583, 11.3132064397937;508;Mercoledì
26637;11/01/2024;0.127 2.9 8 1;124;47;29;16;30;71;234;731;844;656;642;685;610;601;620;642;718;869;932;943;640;365;354;231;165;1;spira;552;338;18000;VIA ANDREA COSTA;4691;4678;4000/343434;A;298;E;280;113.181.693.906.392;444.952.144.648.198;44.4952144648198, 11.3181693906392;100;Giovedì
26638;11/01/2024;0.127 2.10 8 1;5;3;4;1;1;11;33;162;185;137;97;109;110;112;107;103;110;151;121;139;84;30;59;24;166;1;spira;553;954;51000;VIA FRANCESCO RONCATI;6039;6028;4000/343434;A;338;E;287;113.282.993.665.462;444.937.079.783.006;44.4937079783006, 11.3282993665462;26;Giovedì
26641;11/01/2024;0.127 2.30 2 1;147;66;44;34;42;134;283;812;951;877;744;830;827;843;938;946;1184;1200;1176;1009;646;352;366;386;294;1;spira;34;9183;47900;VIA PRATI DI CAPRARA;16946;13345;4000/343434;A;16;S;161;113.094.463.610.492;445.059.291.474.411;44.5059291474411, 11.3094463610492;52;Giovedì
26643;11/01/2024;0.127 2.31 6 1;5;4;2;0;2;2;15;50;54;47;45;51;79;63;48;48;54;54;93;79;40;28;18;15;191;1;spira;583;7675;16750;VIA CIMABUE;15441;8846;4000/343434;A;302;N;335;11.314.438.289.839;445.033.998.910.462;44.5033998910462, 11.314438289839;56;Giovedì
26645;11/01/2024;0.127 2.33 2 1;135;57;14;18;18;61;156;673;885;671;646;690;716;801;718;819;929;993;945;759;499;298;334;322;288;1;spira;28;7235;34000;VIA INNOCENZO MALVASIA;14721;8839;4000/343434;A;19;S;160;113.217.226.486.705;445.013.990.198.351;44.5013990198351, 11.3217226486705;59;Giovedì
26649;11/01/2024;0.127 2.82 8 1;20;2;4;1;2;10;41;252;261;114;109;104;102;105;104;116;215;345;470;367;120;48;33;12;206;1;spira;600;2647;44650;VIA PASUBIO;8787;4566;4000/343434;A;42;E;248;113.107.102.075.303;445.006.771.544.669;44.5006771544669, 11.3107102075303;84;Giovedì
26736;11/01/2024;1.9 1.8 2 1;78;37;19;12;15;24;64;170;141;193;161;138;153;128;162;164;102;140;169;170;209;116;91;94;282;1;spira;21;962;22100;VIA S.FELICE;13540;67;4000/343434;A;294;SE;247;113.313.093.788.363;444.977.990.469.653;44.4977990469653, 11.3313093788363;398;Giovedì
26740;11/01/2024;1.11 2.10 4 1;34;19;10;6;8;9;17;76;139;124;124;147;136;143;119;116;132;139;134;126;76;39;31;34;787;1;spira;1131;939;30450;VIA S.ISAIA;13554;41;4000/343434;A;322;;63;113.357.757.807.336;444.932.825.534.639;44.4932825534639, 11.3357757807336;349;Giovedì
26751;11/01/2024;2.9 2.10 8 1;129;50;28;17;32;70;231;674;804;687;570;694;621;573;619;614;629;761;792;817;642;360;341;210;163;1;spira;550;364;18000;VIA ANDREA COSTA;4621;4696;4000/343434;A;299;E;280;113.198.132.852.758;444.953.074.040.538;44.4953074040538, 11.3198132852758;515;Giovedì
26758;11/01/2024;2.18 2.82 6 1;12;1;1;1;1;8;29;50;91;92;127;113;83;63;81;99;145;96;93;77;62;39;24;17;169;1;spira;560;4563;36250;VIA MARZABOTTO;4568;8778;4000/343434;A;25;N;329;113.101.650.805.774;44.499.278.975.506;44.499278975506, 11.3101650805774;420;Giovedì
26759;11/01/2024;2.19 2.19 2 1;33;15;5;4;7;20;38;278;544;243;194;193;235;249;235;216;367;403;436;305;180;78;78;57;360;1;spira;108;357;57650;VIA DEL TIMAVO;4701;4680;4000/343434;A;24;S;160;113.167.288.638.096;44.498.596.866.165;44.498596866165, 11.3167288638096;424;Giovedì
26760;11/01/2024;2.19 2.19 7 1;111;21;1;5;8;42;211;765;796;649;531;503;474;553;552;653;789;820;800;804;557;230;175;134;789;1;spira;1133;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;;253;1.131.326.041.783;444.978.561.467.662;44.4978561467662, 11.31326041783;427;Giovedì
26763;11/01/2024;2.21 2.35 8 1;431;151;73;58;110;152;539;2059;2615;2202;1739;1765;1697;1809;1776;1880;2181;2333;2358;2197;1502;760;647;634;353;1;spira;100;7573;61550;VIALE GIOVANNI VICINI;16680;15305;4000/343434;A;22;N;14;113.276.196.333.253;444.972.874.200.715;44.4972874200715, 11.3276196333253;443;Giovedì
26766;11/01/2024;2.28 0.127 6 1;15;7;3;1;3;5;8;27;57;62;54;77;74;82;68;61;75;88;105;96;66;33;28;22;301;2;spira;41;2612;21400;VIA EMILIA PONENTE;8742;8739;;A;14;E;75;112.969.389.020.555;445.088.642.358.691;44.5088642358691, 11.2969389020555;457;Giovedì
26769;11/01/2024;2.30 2.30 6 1;246;63;35;38;53;139;554;1063;1181;875;807;815;836;824;896;943;1046;1268;1239;993;589;404;260;218;296;1;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;113.092.167.352.814;445.053.085.046.798;44.5053085046798, 11.3092167352814;469;Giovedì
26770;11/01/2024;2.30 2.31 8 1;32;9;6;7;12;24;33;73;88;82;78;52;52;54;56;61;71;69;67;88;44;18;24;27;189;1;spira;581;5409;21400;VIA EMILIA PONENTE;13344;8807;4000/343434;A;16;E;247;113.096.947.184.232;445.054.053.954.154;44.5054053954154, 11.3096947184232;470;Giovedì
26772;11/01/2024;2.33 0.127 6 1;64;19;9;6;13;26;126;518;689;470;332;286;328;309;355;332;430;552;577;550;267;141;108;88;194;1;spira;587;7235;34000;VIA INNOCENZO MALVASIA;8839;14721;4000/343434;A;19;N;338;113.218.017.649.932;445.013.661.662.167;44.5013661662167, 11.3218017649932;477;Giovedì
26774;11/01/2024;2.35 2.21 6 1;106;43;23;18;20;44;159;602;504;440;437;467;471;486;449;388;510;544;576;619;427;262;198;215;284;1;spira;24;8756;61550;VIALE GIOVANNI VICINI;16684;16686;4000/343434;A;21;S;194;113.268.760.258.863;44.498.954.845.287;44.498954845287, 11.3268760258863;483;Giovedì
26775;11/01/2024;2.35 2.34 4 1;198;102;36;35;47;101;224;865;1082;732;644;759;664;792;896;1055;1021;944;907;828;540;366;383;409;285;1;spira;25;2860;52400;VIA AURELIO SAFFI;15233;8834;4000/343434;A;21;O;66;113.266.685.739.012;444.994.937.005.152;44.4994937005152, 11.3266685739012;484;Giovedì
26778;11/01/2024;2.38 3.7 8 1;167;56;42;34;53;80;255;949;1189;970;787;761;731;736;794;803;1045;1088;1157;1042;702;358;287;273;72;1;spira;326;8781;54950;VIALE ANTONIO SILVANI;16695;16698;4000/343434;A;151;NE;307;11.330.518.010.785;445.010.668.033.697;44.5010668033697, 11.330518010785;491;Giovedì
26779;11/01/2024;2.82 2.18 2 2;34;11;4;7;10;37;83;303;378;241;339;280;345;314;369;324;433;554;732;629;287;111;84;68;269;1;spira;922;4568;36250;VIA MARZABOTTO;8776;8777;4000/343434;A;300;S;155;113.132.064.397.937;445.039.186.889.583;44.5039186889583, 11.3132064397937;508;Giovedì
26780;11/01/2024;2.82 2.31 6 1;26;7;3;2;2;11;57;157;250;172;157;167;133;147;150;153;179;259;234;229;107;55;33;31;190;1;spira;582;4568;36250;VIA MARZABOTTO;8777;8776;4000/343434;A;300;N;335;113.133.096.525.433;445.038.846.559.691;44.5038846559691, 11.3133096525433;510;Giovedì
26912;12/01/2024;0.127 2.9 6 1;11;4;2;1;0;0;8;73;65;55;62;56;76;72;77;96;88;134;142;94;97;69;30;27;162;1;spira;549;3776;60200;VIA LUIGI VALERIANI;13075;4621;4000/343434;A;299;N;342;113.195.970.141.409;444.951.731.390.054;44.4951731390054, 11.3195970141409;99;Venerdì
26913;12/01/2024;0.127 2.9 8 1;116;51;23;16;23;54;212;708;847;661;621;650;586;587;638;604;708;747;821;754;554;384;338;276;165;1;spira;552;338;18000;VIA ANDREA COSTA;4691;4678;4000/343434;A;298;E;280;113.181.693.906.392;444.952.144.648.198;44.4952144648198, 11.3181693906392;100;Venerdì
26914;12/01/2024;0.127 2.10 8 1;16;4;7;3;1;3;32;172;223;123;120;91;107;127;98;99;149;137;105;118;93;48;36;32;166;1;spira;553;954;51000;VIA FRANCESCO RONCATI;6039;6028;4000/343434;A;338;E;287;113.282.993.665.462;444.937.079.783.006;44.4937079783006, 11.3282993665462;26;Venerdì
26915;12/01/2024;0.127 2.10 10 1;19;10;3;6;11;14;34;188;268;195;190;174;179;232;239;228;251;331;255;218;149;66;55;73;917;2;spira;1097;8745;44950;VIALE CARLO PEPOLI;16675;16677;4000/343434;A;338;;14;113.287.720.902.502;444.937.218.654.403;44.4937218654403, 11.3287720902502;27;Venerdì
26925;12/01/2024;0.127 2.30 2 1;205;85;36;43;45;135;268;847;942;779;796;913;909;975;1021;1064;1226;1190;1064;839;695;394;332;322;294;1;spira;34;9183;47900;VIA PRATI DI CAPRARA;16946;13345;4000/343434;A;16;S;161;113.094.463.610.492;445.059.291.474.411;44.5059291474411, 11.3094463610492;52;Venerdì
27019;12/01/2024;2.9 2.10 8 1;107;52;21;18;22;57;207;669;777;647;492;596;573;559;582;614;719;841;797;740;563;415;340;285;163;1;spira;550;364;18000;VIA ANDREA COSTA;4621;4696;4000/343434;A;299;E;280;113.198.132.852.758;444.953.074.040.538;44.4953074040538, 11.3198132852758;515;Venerdì
27029;12/01/2024;2.19 2.19 7 1;63;18;5;5;20;51;221;674;664;659;530;503;547;581;568;551;687;817;782;669;510;283;233;168;789;1;spira;1133;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;;253;1.131.326.041.783;444.978.561.467.662;44.4978561467662, 11.31326041783;427;Venerdì
27030;12/01/2024;2.19 2.19 8 1;195;73;37;42;57;154;370;1005;1242;1163;1012;1013;1099;1073;1105;1077;1217;1349;1375;1228;984;593;519;404;788;1;spira;1132;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;;253;113.132.403.786.183;444.978.131.399.409;44.4978131399409, 11.3132403786183;428;Venerdì
27032;12/01/2024;2.19 2.32 6 1;20;14;3;4;4;7;45;129;237;130;146;118;154;133;144;160;183;188;175;136;110;94;52;61;358;1;spira;106;2699;57650;VIA DEL TIMAVO;4701;8812;4000/343434;A;24;N;338;113.170.094.340.646;444.988.944.328.703;44.4988944328703, 11.3170094340646;430;Venerdì
27033;12/01/2024;2.21 2.10 6 1;203;104;37;36;41;108;383;1055;1298;1188;992;1052;1078;1165;1166;1053;1231;1368;1334;1233;929;557;475;467;354;1;spira;102;8751;61550;VIALE GIOVANNI VICINI;16682;16683;4000/343434;A;22;S;195;113.275.349.874.958;444.968.992.842.874;44.4968992842874, 11.3275349874958;442;Venerdì
27036;12/01/2024;2.26 2.25 4 1;63;33;15;13;59;85;223;615;832;678;632;627;597;655;607;654;732;716;623;596;444;277;160;171;182;1;spira;574;2574;21400;VIA EMILIA PONENTE;8711;8693;4000/343434;A;254;NO;56;11.287.461.221.671;445.123.626.162.894;44.5123626162894, 11.287461221671;451;Venerdì
27039;12/01/2024;2.28 0.127 6 1;16;12;2;1;5;2;4;34;50;53;55;54;80;64;78;63;99;120;88;86;83;42;44;33;301;2;spira;41;2612;21400;VIA EMILIA PONENTE;8742;8739;;A;14;E;75;112.969.389.020.555;445.088.642.358.691;44.5088642358691, 11.2969389020555;457;Venerdì
27040;12/01/2024;2.30 2.30 6 1;82;58;20;25;47;137;514;1168;934;846;804;786;872;848;831;797;1051;1051;1021;858;546;383;328;251;296;1;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;113.092.167.352.814;445.053.085.046.798;44.5053085046798, 11.3092167352814;469;Venerdì
27041;12/01/2024;2.31 2.82 2 1;24;11;4;4;10;23;52;189;287;216;281;251;280;245;278;265;304;310;290;263;195;101;69;71;204;1;spira;597;2642;36250;VIA MARZABOTTO;8785;4566;4000/343434;A;42;S;155;11.311.120.157.605;445.008.565.366.089;44.5008565366089, 11.311120157605;474;Venerdì
27042;12/01/2024;2.33 0.127 2 1;89;40;13;7;17;25;79;312;411;338;303;276;385;366;389;453;467;547;526;379;280;165;147;138;290;1;spira;30;2729;62250;VIA VITTORIO VENETO;8839;8814;4000/343434;A;19;SO;155;113.215.190.419.811;445.010.742.719.742;44.5010742719742, 11.3215190419811;476;Venerdì
27046;12/01/2024;2.38 3.7 8 1;123;63;31;25;49;100;262;851;1071;1005;791;803;788;818;790;829;861;899;855;774;704;435;349;315;72;1;spira;326;8781;54950;VIALE ANTONIO SILVANI;16695;16698;4000/343434;A;151;NE;307;11.330.518.010.785;445.010.668.033.697;44.5010668033697, 11.330518010785;491;Venerdì
27047;12/01/2024;2.82 2.18 2 2;39;18;3;5;14;32;82;306;461;304;383;336;374;325;386;376;436;438;437;407;290;153;86;101;269;1;spira;922;4568;36250;VIA MARZABOTTO;8776;8777;4000/343434;A;300;S;155;113.132.064.397.937;445.039.186.889.583;44.5039186889583, 11.3132064397937;508;Venerdì
27103;01/02/2024;0.127 2.30 2 1;239;101;36;39;57;126;277;812;1021;848;784;841;789;939;911;1008;1086;1142;1196;1006;672;376;784;994;294;1;spira;34;9183;47900;VIA PRATI DI CAPRARA;16946;13345;4000/343434;A;16;S;161;113.094.463.610.492;445.059.291.474.411;44.5059291474411, 11.3094463610492;52;Giovedì
27106;01/02/2024;0.127 2.33 6 1;55;11;7;5;7;34;125;478;618;376;266;260;273;261;274;278;320;359;353;310;208;111;102;74;195;1;spira;588;2729;62250;VIA VITTORIO VENETO;8814;8839;4000/343434;A;19;N;336;113.215.733.072.765;445.009.942.351.004;44.5009942351004, 11.3215733072765;60;Giovedì
27109;01/02/2024;0.127 2.82 8 1;10;3;1;3;4;10;40;270;326;136;102;95;100;106;92;127;144;173;263;132;102;60;39;41;206;1;spira;600;2647;44650;VIA PASUBIO;8787;4566;4000/343434;A;42;E;248;113.107.102.075.303;445.006.771.544.669;44.5006771544669, 11.3107102075303;84;Giovedì
27209;01/02/2024;2.18 2.19 8 1;233;105;43;45;74;218;620;1952;2047;1786;1483;1431;1518;1593;1575;1565;1780;2145;2190;1936;1514;662;567;436;96;1;spira;77;4219;25430;VIALE M. KARAMCHAND GANDHI;4568;16850;4000/343434;A;25;E;250;113.103.750.297.562;444.985.943.485.971;44.4985943485971, 11.3103750297562;419;Giovedì
27211;01/02/2024;2.19 0.127 8 1;64;20;8;13;10;33;140;562;628;474;378;384;377;429;502;449;524;602;573;492;362;178;154;140;173;1;spira;564;7215;44650;VIA PASUBIO;4701;14708;4000/343434;A;24;E;248;113.172.169.050.193;444.986.653.950.908;44.4986653950908, 11.3172169050193;422;Giovedì
27212;01/02/2024;2.19 2.19 2 1;38;15;7;4;9;18;55;300;548;300;179;213;217;244;253;239;347;416;406;301;185;103;56;90;360;1;spira;108;357;57650;VIA DEL TIMAVO;4701;4680;4000/343434;A;24;S;160;113.167.288.638.096;44.498.596.866.165;44.498596866165, 11.3167288638096;424;Giovedì
27220;01/02/2024;2.27 2.26 4 1;17;3;3;6;20;31;57;141;161;190;155;158;143;137;148;148;180;172;157;154;100;45;25;23;304;1;spira;44;5940;21400;VIA EMILIA PONENTE;13714;8592;4000/343434;A;13;NO;63;112.898.176.294.478;445.113.136.553.154;44.5113136553154, 11.2898176294478;454;Giovedì
27223;01/02/2024;2.28 0.127 6 1;24;6;8;1;1;8;15;26;55;58;52;73;74;62;55;63;85;98;115;79;43;39;40;42;301;2;spira;41;2612;21400;VIA EMILIA PONENTE;8742;8739;;A;14;E;75;112.969.389.020.555;445.088.642.358.691;44.5088642358691, 11.2969389020555;457;Giovedì
27225;01/02/2024;2.30 0.127 2 1;543;274;116;111;135;269;521;1610;1950;1687;1584;1677;1614;1759;1857;1891;2100;2192;2230;1949;1404;818;1227;1465;188;1;spira;580;6122;45190;VIALE SANDRO PERTINI;13345;13882;4000/343434;A;16;S;157;11.309.082.303.102;445.053.154.347.885;44.5053154347885, 11.309082303102;466;Giovedì
27226;01/02/2024;2.30 2.31 8 1;23;17;11;9;25;18;39;99;100;89;65;52;69;65;71;67;67;87;63;73;45;20;27;25;189;1;spira;581;5409;21400;VIA EMILIA PONENTE;13344;8807;4000/343434;A;16;E;247;113.096.947.184.232;445.054.053.954.154;44.5054053954154, 11.3096947184232;470;Giovedì
27229;01/02/2024;2.34 2.35 8 1;25;17;10;15;24;27;46;117;115;123;102;92;94;79;95;74;91;86;84;69;63;30;27;30;287;1;spira;27;2708;52400;VIA AURELIO SAFFI;8838;8835;4000/343434;A;20;E;246;11.324.532.869.825;445.001.722.736.237;44.5001722736237, 11.324532869825;481;Giovedì
27230;01/02/2024;2.35 2.34 4 1;262;115;54;45;47;111;221;943;1011;986;750;865;840;948;965;878;1142;1154;1212;1066;652;414;383;375;285;1;spira;25;2860;52400;VIA AURELIO SAFFI;15233;8834;4000/343434;A;21;O;66;113.266.685.739.012;444.994.937.005.152;44.4994937005152, 11.3266685739012;484;Giovedì
27232;01/02/2024;2.82 2.18 2 1;29;17;4;6;7;38;85;320;393;299;310;310;274;305;308;278;360;368;455;353;261;126;118;115;636;1;spira;1008;4563;36250;VIA MARZABOTTO;8778;4568;4000/343434;A;25;S;149;11.309.913.896.272;444.992.572.264.694;44.4992572264694, 11.309913896272;507;Giovedì
27233;01/02/2024;2.82 2.18 2 2;32;17;5;4;5;32;78;302;299;293;306;251;263;270;311;326;379;381;480;366;255;138;94;102;269;1;spira;922;4568;36250;VIA MARZABOTTO;8776;8777;4000/343434;A;300;S;155;113.132.064.397.937;445.039.186.889.583;44.5039186889583, 11.3132064397937;508;Giovedì
27379;02/02/2024;0.127 2.30 2 1;578;203;98;180;429;174;273;751;1021;765;786;849;878;895;1015;1033;1102;1264;1166;1024;768;342;924;1398;294;1;spira;34;9183;47900;VIA PRATI DI CAPRARA;16946;13345;4000/343434;A;16;S;161;113.094.463.610.492;445.059.291.474.411;44.5059291474411, 11.3094463610492;52;Venerdì
27380;02/02/2024;0.127 2.30 6 1;135;49;39;24;48;140;501;1192;1165;898;830;834;848;862;814;849;1016;1205;1153;992;697;371;289;311;296;2;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;113.092.167.352.814;445.053.085.046.798;44.5053085046798, 11.3092167352814;53;Venerdì
27383;02/02/2024;0.127 2.33 6 1;48;22;14;5;10;28;137;426;547;329;246;276;282;273;291;299;369;397;425;383;243;127;79;100;195;1;spira;588;2729;62250;VIA VITTORIO VENETO;8814;8839;4000/343434;A;19;N;336;113.215.733.072.765;445.009.942.351.004;44.5009942351004, 11.3215733072765;60;Venerdì
27482;02/02/2024;2.2 2.2 8 1;133;61;29;14;41;77;226;715;930;739;620;643;655;560;630;664;751;734;827;687;560;311;249;243;791;1;spira;1136;217;18000;VIA ANDREA COSTA;16161;16156;4000/343434;A;334;;347;113.022.424.841.515;444.920.804.779.848;44.4920804779848, 11.3022424841515;434;Venerdì
27488;02/02/2024;2.10 2.6 6 1;276;97;60;23;56;110;503;1357;1476;1203;1074;1110;1235;1262;1210;1160;1344;1534;1439;1338;1121;613;556;659;15;1;spira;96;947;44950;VIALE CARLO PEPOLI;16679;6028;4000/343434;A;338;SE;195;113.283.224.582.864;444.944.770.870.484;44.4944770870484, 11.3283224582864;402;Venerdì
27489;02/02/2024;2.10 2.21 6 1;225;90;60;30;41;61;259;1062;1413;1152;898;944;906;968;975;952;1009;1088;1133;1082;756;414;325;384;14;1;spira;95;7563;61550;VIALE GIOVANNI VICINI;16678;16693;4000/343434;A;338;NO;10;113.283.987.885.526;44.494.907.669.431;44.494907669431, 11.3283987885526;401;Venerdì
27494;02/02/2024;2.19 0.127 8 1;85;18;13;5;18;33;154;527;608;424;387;389;433;434;450;449;588;625;658;526;342;191;137;161;173;1;spira;564;7215;44650;VIA PASUBIO;4701;14708;4000/343434;A;24;E;248;113.172.169.050.193;444.986.653.950.908;44.4986653950908, 11.3172169050193;422;Venerdì
27498;02/02/2024;2.19 2.19 8 1;164;74;43;35;60;143;408;1105;1240;1090;955;959;1013;1003;1021;1124;1177;1385;1330;1220;998;559;507;428;788;1;spira;1132;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;;253;113.132.403.786.183;444.978.131.399.409;44.4978131399409, 11.3132403786183;428;Venerdì
27501;02/02/2024;2.21 2.10 6 1;244;89;55;33;42;104;461;1249;1369;1135;970;1028;1094;1131;1099;1096;1156;1382;1307;1196;1024;557;516;611;354;1;spira;102;8751;61550;VIALE GIOVANNI VICINI;16682;16683;4000/343434;A;22;S;195;113.275.349.874.958;444.968.992.842.874;44.4968992842874, 11.3275349874958;442;Venerdì
27502;02/02/2024;2.21 2.35 8 1;342;147;97;65;90;185;576;1988;2538;2078;1674;1709;1710;1776;1786;1772;1948;2082;2192;2108;1603;898;782;765;353;1;spira;100;7573;61550;VIALE GIOVANNI VICINI;16680;15305;4000/343434;A;22;N;14;113.276.196.333.253;444.972.874.200.715;44.4972874200715, 11.3276196333253;443;Venerdì
27504;02/02/2024;2.26 2.27 8 1;122;53;30;75;195;144;235;736;823;686;685;648;701;675;661;691;711;875;829;691;453;259;242;297;306;1;spira;46;6867;21400;VIA EMILIA PONENTE;8711;14459;4000/343434;A;254;E;240;112.878.487.733.012;44.512.090.924.049;44.512090924049, 11.2878487733012;452;Venerdì
27506;02/02/2024;2.30 0.127 2 1;944;403;180;233;604;365;488;1517;1959;1568;1519;1675;1697;1706;2022;1906;2074;2247;2164;2054;1495;876;1394;2059;188;1;spira;580;6122;45190;VIALE SANDRO PERTINI;13345;13882;4000/343434;A;16;S;157;11.309.082.303.102;445.053.154.347.885;44.5053154347885, 11.309082303102;466;Venerdì
27507;02/02/2024;2.30 2.29 4 1;55;28;14;11;32;54;81;156;254;246;250;268;263;261;249;277;274;288;323;231;195;113;79;118;295;1;spira;35;6841;21400;VIA EMILIA PONENTE;14442;13345;4000/343434;A;16;NO;65;113.090.333.624.097;445.057.316.740.375;44.5057316740375, 11.3090333624097;468;Venerdì
27508;02/02/2024;2.30 2.30 6 1;144;53;41;27;51;141;499;1198;1031;913;747;793;601;416;594;586;702;1098;1138;968;610;343;298;299;296;1;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;113.092.167.352.814;445.053.085.046.798;44.5053085046798, 11.3092167352814;469;Venerdì
27509;02/02/2024;2.33 0.127 6 1;56;24;14;5;11;23;139;435;565;347;263;288;311;293;298;311;386;428;454;410;258;137;98;128;194;1;spira;587;7235;34000;VIA INNOCENZO MALVASIA;8839;14721;4000/343434;A;19;N;338;113.218.017.649.932;445.013.661.662.167;44.5013661662167, 11.3218017649932;477;Venerdì
27510;02/02/2024;2.34 2.33 4 1;224;107;57;46;90;95;204;655;852;703;595;656;698;675;712;750;817;865;885;790;546;328;299;413;196;1;spira;589;4572;52400;VIA AURELIO SAFFI;8838;8845;4000/343434;A;20;O;66;113.239.415.903.186;445.004.735.823.277;44.5004735823277, 11.3239415903186;480;Venerdì
27511;02/02/2024;2.35 2.34 4 1;319;154;67;55;115;122;247;909;1004;934;786;866;907;950;1178;1486;1598;1846;1705;1207;766;422;378;537;285;1;spira;25;2860;52400;VIA AURELIO SAFFI;15233;8834;4000/343434;A;21;O;66;113.266.685.739.012;444.994.937.005.152;44.4994937005152, 11.3266685739012;484;Venerdì
27512;02/02/2024;2.35 2.38 8 1;106;39;31;23;30;73;195;657;887;737;564;595;573;590;571;600;683;672;755;697;480;315;259;237;283;1;spira;23;8785;54950;VIALE ANTONIO SILVANI;16696;16702;4000/343434;A;21;NE;296;113.275.922.602.577;444.996.245.123.973;44.4996245123973, 11.3275922602577;485;Venerdì
27515;02/02/2024;2.38 2.35 4 1;308;130;60;48;102;110;239;763;862;758;747;846;940;909;908;938;952;1130;1044;1031;768;510;491;675;73;1;spira;327;2973;54950;VIALE ANTONIO SILVANI;10159;15234;4000/343434;A;151;SO;125;113.294.927.544.257;445.007.251.431.592;44.5007251431592, 11.3294927544257;490;Venerdì
27662;03/02/2024;0.127 2.33 6 1;67;38;20;16;12;22;54;127;198;242;281;311;327;268;191;223;254;290;243;216;196;94;137;294;195;1;spira;588;2729;62250;VIA VITTORIO VENETO;8814;8839;4000/343434;A;19;N;336;113.215.733.072.765;445.009.942.351.004;44.5009942351004, 11.3215733072765;60;Sabato
27663;03/02/2024;0.127 2.33 10 1;314;229;127;89;74;69;91;216;282;372;455;542;549;499;361;458;430;482;536;542;418;251;249;337;945;2;spira;1044;7235;34000;VIA INNOCENZO MALVASIA;14721;8839;4000/343434;A;19;SO;158;113.216.426.062.022;445.012.616.462.669;44.5012616462669, 11.3216426062022;61;Sabato
27756;03/02/2024;1.11 2.10 4 1;39;38;27;23;13;24;28;44;62;72;63;99;102;79;69;79;91;106;88;122;98;51;52;62;787;1;spira;1131;939;30450;VIA S.ISAIA;13554;41;4000/343434;A;322;;63;113.357.757.807.336;444.932.825.534.639;44.4932825534639, 11.3357757807336;349;Sabato
27768;03/02/2024;2.6 2.10 6 1;391;274;171;79;60;73;155;533;674;726;930;1045;1078;1016;742;795;930;973;1118;1399;1000;539;466;615;592;1;spira;541;8712;44950;VIALE CARLO PEPOLI;16659;16665;4000/343434;A;49;N;15;113.295.725.650.354;444.912.436.304.454;44.4912436304454, 11.3295725650354;499;Sabato
27777;03/02/2024;2.19 2.19 6 1;100;50;23;14;18;30;64;184;263;315;387;452;461;374;279;296;372;426;386;269;221;126;214;301;176;1;spira;567;357;57650;VIA DEL TIMAVO;4680;4701;4000/343434;A;24;N;338;113.163.420.592.928;444.977.904.881.531;44.4977904881531, 11.3163420592928;426;Sabato
