;Unnamed: 0;data;codice_spira;00:00-01:00;01:00-02:00;02:00-03:00;03:00-04:00;04:00-05:00;05:00-06:00;06:00-07:00;07:00-08:00;08:00-09:00;09:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00;19:00-20:00;20:00-21:00;21:00-22:00;22:00-23:00;23:00-24:00;id_uni;Livello;tipologia;codice;codice arco;codice via;Nome via;Nodo da;Nodo a;ordinanza;stato;codimpsem;direzione;angolo;longitudine;latitudine;geopoint;ID_univoco_stazione_spira;giorno settimana;edge_id
4234;9432;22/01/2024;2.19 2.82 4 1;20;7;4;2;3;14;32;131;184;123;116;109;101;108;110;119;156;203;150;110;73;35;42;31;205;1;spira;599;7225;44650;VIA PASUBIO;14714;4566;4000/343434;A;42;O;68;113.112.946.339.157;44.500.559.242.279;44.500559242279, 11.3112946339157;431;Lunedì;b26.-170
4238;9440;22/01/2024;2.30 0.127 2 1;721;308;87;71;128;257;538;1537;1765;1343;1418;1495;1617;1730;1740;1670;1978;1830;2098;1673;1280;729;564;504;188;1;spira;580;6122;45190;VIALE SANDRO PERTINI;13345;13882;4000/343434;A;16;S;157;11.309.082.303.102;445.053.154.347.885;44.5053154347885, 11.309082303102;466;Lunedì;b3[1]
4239;9441;22/01/2024;2.30 0.127 6 1;134;49;25;43;51;191;755;1766;1884;1299;1247;1280;1324;1288;1253;1133;1267;1468;1378;1200;714;426;324;275;187;1;spira;579;9147;47900;VIA PRATI DI CAPRARA;13344;16937;4000/343434;A;16;N;341;113.095.630.279.905;445.058.710.102.678;44.5058710102678, 11.3095630279905;467;Lunedì;b4[1][1][1]
4240;9442;22/01/2024;2.30 2.29 4 1;40;20;11;10;17;41;70;164;243;198;211;262;234;260;253;234;287;276;282;268;166;93;80;59;295;1;spira;35;6841;21400;VIA EMILIA PONENTE;14442;13345;4000/343434;A;16;NO;65;113.090.333.624.097;445.057.316.740.375;44.5057316740375, 11.3090333624097;468;Lunedì;b10
4241;9443;22/01/2024;2.30 2.30 6 1;76;25;11;25;37;139;547;871;1031;872;707;803;834;792;788;719;809;1050;921;780;469;298;240;182;296;1;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;113.092.167.352.814;445.053.085.046.798;44.5053085046798, 11.3092167352814;469;Lunedì;b4[1][1][0]
4242;9444;22/01/2024;2.30 2.31 8 1;27;12;5;8;19;31;34;68;85;86;67;76;66;64;56;54;73;93;66;64;31;22;28;24;189;1;spira;581;5409;21400;VIA EMILIA PONENTE;13344;8807;4000/343434;A;16;E;247;113.096.947.184.232;445.054.053.954.154;44.5054053954154, 11.3096947184232;470;Lunedì;b8
4243;9445;22/01/2024;2.31 2.30 4 1;159;81;34;26;53;103;259;703;931;686;657;796;816;792;817;741;857;892;803;732;581;300;235;214;293;1;spira;33;2681;21400;VIA EMILIA PONENTE;8776;8780;4000/343434;A;300;O;66;113.133.986.552.922;445.041.992.237.176;44.5041992237176, 11.3133986552922;472;Lunedì;b76
4244;9446;22/01/2024;2.31 2.82 2 1;25;11;6;4;8;37;64;201;241;171;234;232;214;255;225;211;268;326;317;211;134;60;49;39;204;1;spira;597;2642;36250;VIA MARZABOTTO;8785;4566;4000/343434;A;42;S;155;11.311.120.157.605;445.008.565.366.089;44.5008565366089, 11.311120157605;474;Lunedì;b17[0]
4245;9453;22/01/2024;2.82 2.18 2 2;37;9;10;7;12;46;91;296;375;309;312;307;332;331;334;319;358;461;488;353;215;87;69;45;269;1;spira;922;4568;36250;VIA MARZABOTTO;8776;8777;4000/343434;A;300;S;155;113.132.064.397.937;445.039.186.889.583;44.5039186889583, 11.3132064397937;508;Lunedì;b17[1]
4249;9457;22/01/2024;2.95 2.5 2 1;21;6;2;2;4;12;32;132;161;110;98;75;100;111;113;92;128;127;129;104;55;21;22;26;624;1;spira;957;304;52950;VIA SARAGOZZA;4539;4657;4000/343434;A;371;NE;289;113.209.092.063.132;444.895.928.457.479;44.4895928457479, 11.3209092063132;519;Lunedì;a195
4337;9590;23/01/2024;0.127 2.18 10 2;6;3;2;1;3;8;22;27;37;62;61;64;57;44;40;73;80;80;47;56;36;22;19;7;941;2;spira;1148;2633;25430;VIALE M. KARAMCHAND GANDHI;8763;4568;4000/343434;A;25;;251;113.094.985.934.965;444.988.573.896.583;44.4988573896583, 11.3094985934965;37;Martedì;b20+19a
4338;9591;23/01/2024;0.127 2.20 2 1;79;33;16;16;20;46;117;438;524;329;416;389;426;444;449;475;603;598;536;526;373;160;150;168;178;1;spira;570;7243;62250;VIA VITTORIO VENETO;14727;4677;4000/343434;A;23;S;156;113.190.584.470.408;444.973.300.969.747;44.4973300969747, 11.3190584470408;40;Martedì;a181
4341;9594;23/01/2024;0.127 2.31 1 1;12;5;3;3;7;7;27;94;106;78;59;58;71;67;59;53;60;70;48;47;29;14;8;10;614;1;spira;948;2742;41430;LARGO BARTOLO NIGRISOLI;8761;15769;4000/343434;A;301;S;155;113.156.585.697.439;445.039.310.321.156;44.5039310321156, 11.3156585697439;54;Martedì;b71
4342;9598;23/01/2024;0.127 2.33 6 1;25;13;11;3;11;38;134;443;643;391;308;232;271;285;278;259;357;373;373;293;186;120;68;71;195;1;spira;588;2729;62250;VIA VITTORIO VENETO;8814;8839;4000/343434;A;19;N;336;113.215.733.072.765;445.009.942.351.004;44.5009942351004, 11.3215733072765;60;Martedì;b55
4344;9602;23/01/2024;0.127 2.73 6 1;34;13;7;6;11;28;74;269;269;253;204;212;227;205;212;217;259;224;222;239;138;73;90;88;202;1;spira;595;236;4450;VIA IRMA BANDIERA;15417;4598;4000/343434;A;41;N;338;113.124.430.502.643;444.916.097.902.182;44.4916097902182, 11.3124430502643;81;Martedì;a104
4410;9698;23/01/2024;2.5 2.95 6 1;166;59;34;24;28;84;216;804;772;896;770;787;840;941;873;848;889;719;982;956;608;351;326;391;19;1;spira;88;325;52950;VIA SARAGOZZA;4665;4651;4000/343434;A;337;O;90;113.258.609.026.138;444.903.451.512.572;44.4903451512572, 11.3258609026138;497;Martedì;a60
4412;9700;23/01/2024;2.6 2.10 6 1;96;55;41;34;37;76;288;1175;1502;1204;934;1042;918;1013;1115;961;1188;1259;1249;1030;755;348;260;305;592;1;spira;541;8712;44950;VIALE CARLO PEPOLI;16659;16665;4000/343434;A;49;N;15;113.295.725.650.354;444.912.436.304.454;44.4912436304454, 11.3295725650354;499;Martedì;a210
4414;9703;23/01/2024;2.10 1.11 4 1;45;28;11;11;17;40;127;418;588;492;372;347;324;325;328;350;354;394;400;366;268;142;127;122;262;1;spira;857;8713;30500;PIAZZA DI PORTA S.ISAIA;16678;56;4000/343434;A;338;E;256;11.328.674.717.615;44.494.620.361.561;44.494620361561, 11.328674717615;400;Martedì;a134
4417;9711;23/01/2024;2.21 2.10 6 1;188;60;23;23;36;107;456;1200;1406;1168;955;993;903;1019;1123;1019;1217;1390;1517;1299;867;431;380;373;354;1;spira;102;8751;61550;VIALE GIOVANNI VICINI;16682;16683;4000/343434;A;22;S;195;113.275.349.874.958;444.968.992.842.874;44.4968992842874, 11.3275349874958;442;Martedì;a201
4423;9721;23/01/2024;2.30 0.127 6 1;114;65;44;43;53;163;752;1793;1966;1468;1476;1294;1252;1247;1193;1197;1323;1623;1451;1221;802;456;386;310;187;1;spira;579;9147;47900;VIA PRATI DI CAPRARA;13344;16937;4000/343434;A;16;N;341;113.095.630.279.905;445.058.710.102.678;44.5058710102678, 11.3095630279905;467;Martedì;b4[1][1][1]
4424;9722;23/01/2024;2.30 2.30 6 1;82;39;27;27;39;135;579;1126;1217;967;901;573;474;655;507;687;930;1003;1004;812;548;293;268;195;296;1;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;113.092.167.352.814;445.053.085.046.798;44.5053085046798, 11.3092167352814;469;Martedì;b4[1][1][0]
4425;9723;23/01/2024;2.30 2.31 8 1;32;18;5;7;27;13;29;81;84;97;65;57;57;53;53;54;69;62;71;59;33;24;19;20;189;1;spira;581;5409;21400;VIA EMILIA PONENTE;13344;8807;4000/343434;A;16;E;247;113.096.947.184.232;445.054.053.954.154;44.5054053954154, 11.3096947184232;470;Martedì;b8
4426;9724;23/01/2024;2.35 2.38 8 1;49;36;27;15;27;55;197;730;892;764;567;536;455;527;614;585;658;663;684;594;386;208;150;128;283;1;spira;23;8785;54950;VIALE ANTONIO SILVANI;16696;16702;4000/343434;A;21;NE;296;113.275.922.602.577;444.996.245.123.973;44.4996245123973, 11.3275922602577;485;Martedì;a204[1][1]
4428;9727;23/01/2024;2.95 2.4 6 1;127;56;28;15;24;64;158;624;599;666;579;606;642;675;687;683;658;657;771;751;458;299;253;289;623;1;spira;956;304;52950;VIA SARAGOZZA;4657;4539;4000/343434;A;371;SO;109;113.208.167.613.095;444.896.143.680.428;44.4896143680428, 11.3208167613095;518;Martedì;a195
4534;9992;24/01/2024;2.18 0.127 4 1;163;84;33;24;57;130;308;1196;1701;1120;938;986;1025;1170;1277;1137;1363;1394;1340;1117;738;379;332;282;171;1;spira;562;2633;25430;VIALE M. KARAMCHAND GANDHI;4568;8763;4000/343434;A;25;O;70;113.087.294.098.062;444.991.747.026.869;44.4991747026869, 11.3087294098062;418;Mercoledì;b2[1][1][1]b
4535;9993;24/01/2024;2.18 2.82 6 1;7;8;0;3;4;12;32;55;79;99;90;81;99;82;83;120;126;125;127;86;79;31;24;15;169;1;spira;560;4563;36250;VIA MARZABOTTO;4568;8778;4000/343434;A;25;N;329;113.101.650.805.774;44.499.278.975.506;44.499278975506, 11.3101650805774;420;Mercoledì;b23
4538;10008;01/01/2024;0.127 2.18 8 1;350;683;634;373;251;169;170;162;265;417;718;1012;1180;852;1003;1275;1303;1157;949;812;601;428;320;212;95;1;spira;75;2633;25430;VIALE M. KARAMCHAND GANDHI;8763;4568;4000/343434;A;25;E;250;113.086.826.273.458;444.990.522.268.361;44.4990522268361, 11.3086826273458;34;Lunedì;b2[1][1][1]b
4539;10010;01/01/2024;0.127 2.19 6 1;304;238;200;137;73;56;43;47;69;96;224;295;417;252;263;314;377;353;325;268;143;119;108;73;174;1;spira;565;343;39600;VIA MONTEFIORINO;4614;4680;4000/343434;A;24;N;337;113.160.137.227.682;444.972.742.515.867;44.4972742515867, 11.3160137227682;38;Lunedì;a11
4540;10011;01/01/2024;0.127 2.19 10 1;53;92;87;35;29;19;11;15;9;32;47;85;160;83;89;100;144;106;90;93;63;50;40;20;942;2;spira;1222;358;58000;VIA TOLMINO;4680;16850;4000/343434;A;24;NE;297;113.160.312.523.868;444.974.672.343.601;44.4974672343601, 11.3160312523868;39;Lunedì;b38[0]
4541;10012;01/01/2024;0.127 2.20 2 1;120;216;131;93;64;54;32;29;43;64;126;177;220;141;185;177;218;247;246;227;181;115;71;59;178;1;spira;570;7243;62250;VIA VITTORIO VENETO;14727;4677;4000/343434;A;23;S;156;113.190.584.470.408;444.973.300.969.747;44.4973300969747, 11.3190584470408;40;Lunedì;a181
4542;10015;01/01/2024;0.127 2.30 2 1;216;375;278;197;129;77;75;100;97;148;262;342;403;389;350;453;433;452;389;365;273;240;159;114;294;1;spira;34;9183;47900;VIA PRATI DI CAPRARA;16946;13345;4000/343434;A;16;S;161;113.094.463.610.492;445.059.291.474.411;44.5059291474411, 11.3094463610492;52;Lunedì;b4[1][1][1]
4543;10022;01/01/2024;0.127 2.73 6 1;277;174;132;85;62;22;24;29;52;91;177;251;341;212;231;272;316;290;254;158;95;75;72;46;202;1;spira;595;236;4450;VIA IRMA BANDIERA;15417;4598;4000/343434;A;41;N;338;113.124.430.502.643;444.916.097.902.182;44.4916097902182, 11.3124430502643;81;Lunedì;a104
4544;10023;01/01/2024;0.127 2.82 8 1;18;34;29;13;8;7;10;9;14;28;37;51;50;41;38;69;52;52;49;49;36;27;21;11;206;1;spira;600;2647;44650;VIA PASUBIO;8787;4566;4000/343434;A;42;E;248;113.107.102.075.303;445.006.771.544.669;44.5006771544669, 11.3107102075303;84;Lunedì;b15
4572;10136;01/01/2024;2.5 2.95 6 1;389;622;520;309;185;114;100;337;472;406;512;615;680;553;518;656;664;617;599;485;360;247;242;179;19;1;spira;88;325;52950;VIA SARAGOZZA;4665;4651;4000/343434;A;337;O;90;113.258.609.026.138;444.903.451.512.572;44.4903451512572, 11.3258609026138;497;Lunedì;a60
4573;10137;01/01/2024;2.6 2.10 6 1;397;504;445;252;193;99;85;107;104;169;300;428;531;485;370;575;602;666;540;471;373;246;193;169;592;1;spira;541;8712;44950;VIALE CARLO PEPOLI;16659;16665;4000/343434;A;49;N;15;113.295.725.650.354;444.912.436.304.454;44.4912436304454, 11.3295725650354;499;Lunedì;a210
4575;10140;01/01/2024;2.8 0.127 8 1;205;319;237;143;71;46;65;51;94;144;275;338;402;284;316;425;462;462;370;265;189;160;98;93;97;1;spira;78;256;18000;VIA ANDREA COSTA;4571;4596;4000/343434;A;38;E;270;113.110.304.555.682;444.939.849.418.073;44.4939849418073, 11.3110304555682;504;Lunedì;a77[1][1]
4578;10147;01/01/2024;2.19 2.19 4 1;253;318;217;148;87;77;56;35;82;113;235;303;416;247;281;313;411;393;369;322;190;171;133;83;361;1;spira;109;358;58000;VIA TOLMINO;4680;16850;4000/343434;A;24;O;90;113.156.919.816.636;444.975.833.129.702;44.4975833129702, 11.3156919816636;425;Lunedì;b2[0]
4579;10148;01/01/2024;2.19 2.19 8 1;244;519;496;316;219;146;142;123;199;313;523;710;883;652;744;869;967;794;689;584;468;314;242;169;788;1;spira;1132;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;;253;113.132.403.786.183;444.978.131.399.409;44.4978131399409, 11.3132403786183;428;Lunedì;b2[1][0]
4580;10149;01/01/2024;2.19 2.82 4 1;16;41;30;18;15;5;9;8;12;11;23;48;48;31;26;44;45;52;47;46;44;23;11;16;205;1;spira;599;7225;44650;VIA PASUBIO;14714;4566;4000/343434;A;42;O;68;113.112.946.339.157;44.500.559.242.279;44.500559242279, 11.3112946339157;431;Lunedì;b26.-170
4581;10157;01/01/2024;2.30 0.127 2 1;697;1070;799;525;366;255;193;256;255;376;636;942;1098;1054;1063;1238;1309;1322;1180;1091;851;644;503;381;188;1;spira;580;6122;45190;VIALE SANDRO PERTINI;13345;13882;4000/343434;A;16;S;157;11.309.082.303.102;445.053.154.347.885;44.5053154347885, 11.309082303102;466;Lunedì;b3[1]
4582;10158;01/01/2024;2.30 2.30 6 1;174;404;266;171;97;94;159;122;126;164;277;417;556;416;373;387;527;534;527;410;274;247;203;145;296;1;spira;36;5425;45190;VIALE SANDRO PERTINI;13354;13344;4000/343434;A;16;N;340;113.092.167.352.814;445.053.085.046.798;44.5053085046798, 11.3092167352814;469;Lunedì;b4[1][1][0]
4611;10286;02/01/2024;0.127 2.8 4 1;26;14;7;6;5;21;35;77;137;168;258;221;213;197;209;208;212;235;231;164;117;65;63;45;597;1;spira;546;256;18000;VIA ANDREA COSTA;4596;4571;4000/343434;A;38;O;109;113.112.243.441.924;44.494.098.107.005;44.494098107005, 11.3112243441924;83;Martedì;a77[1][1]
4612;10287;02/01/2024;0.127 2.9 6 1;5;2;1;0;1;2;5;18;28;43;57;58;55;36;29;37;51;78;74;38;28;22;17;17;162;1;spira;549;3776;60200;VIA LUIGI VALERIANI;13075;4621;4000/343434;A;299;N;342;113.195.970.141.409;444.951.731.390.054;44.4951731390054, 11.3195970141409;99;Martedì;a153
4613;10288;02/01/2024;0.127 2.9 8 1;84;31;11;12;30;62;181;330;437;479;508;566;523;447;491;499;543;592;555;429;358;221;192;135;165;1;spira;552;338;18000;VIA ANDREA COSTA;4691;4678;4000/343434;A;298;E;280;113.181.693.906.392;444.952.144.648.198;44.4952144648198, 11.3181693906392;100;Martedì;a190
4615;10293;02/01/2024;0.127 2.19 6 1;51;27;13;21;47;49;117;316;311;399;416;475;467;396;386;432;468;474;393;307;227;121;105;82;174;1;spira;565;343;39600;VIA MONTEFIORINO;4614;4680;4000/343434;A;24;N;337;113.160.137.227.682;444.972.742.515.867;44.4972742515867, 11.3160137227682;38;Martedì;a11
4616;10294;02/01/2024;0.127 2.19 10 1;17;3;7;1;12;15;52;121;153;134;184;196;214;150;140;165;196;239;180;139;83;71;45;19;942;2;spira;1222;358;58000;VIA TOLMINO;4680;16850;4000/343434;A;24;NE;297;113.160.312.523.868;444.974.672.343.601;44.4974672343601, 11.3160312523868;39;Martedì;b38[0]
4617;10295;02/01/2024;0.127 2.20 2 1;39;34;17;7;14;29;56;135;189;225;288;296;302;277;267;315;329;385;335;278;199;123;95;86;178;1;spira;570;7243;62250;VIA VITTORIO VENETO;14727;4677;4000/343434;A;23;S;156;113.190.584.470.408;444.973.300.969.747;44.4973300969747, 11.3190584470408;40;Martedì;a181
4645;10390;02/01/2024;2.6 2.10 6 1;91;53;34;27;46;45;166;445;627;608;751;754;694;636;702;708;793;834;769;607;475;259;244;168;592;1;spira;541;8712;44950;VIALE CARLO PEPOLI;16659;16665;4000/343434;A;49;N;15;113.295.725.650.354;444.912.436.304.454;44.4912436304454, 11.3295725650354;499;Martedì;a210
4646;10391;02/01/2024;2.6 4.47 4 1;139;54;23;20;36;91;281;674;597;704;757;834;890;705;797;769;905;927;899;807;569;366;281;245;20;1;spira;90;8620;1350;VIALE ANTONIO ALDINI;16662;16521;4000/343434;A;49;SE;250;113.297.300.781.334;444.900.319.161.705;44.4900319161705, 11.3297300781334;501;Martedì;a210
4647;10392;02/01/2024;2.8 0.127 8 1;61;22;10;8;21;65;147;322;464;457;503;535;511;434;476;470;534;525;513;397;266;199;156;101;97;1;spira;78;256;18000;VIA ANDREA COSTA;4571;4596;4000/343434;A;38;E;270;113.110.304.555.682;444.939.849.418.073;44.4939849418073, 11.3110304555682;504;Martedì;a77[1][1]
4648;10393;02/01/2024;2.9 2.10 8 1;79;19;11;12;29;57;162;285;376;471;471;546;535;418;503;415;536;564;542;412;338;221;189;141;163;1;spira;550;364;18000;VIA ANDREA COSTA;4621;4696;4000/343434;A;299;E;280;113.198.132.852.758;444.953.074.040.538;44.4953074040538, 11.3198132852758;515;Martedì;a20001+87[1][0]
4649;10394;02/01/2024;2.10 1.11 4 1;54;24;8;5;15;35;85;156;264;249;256;243;258;194;216;227;216;269;273;220;205;123;101;71;262;1;spira;857;8713;30500;PIAZZA DI PORTA S.ISAIA;16678;56;4000/343434;A;338;E;256;11.328.674.717.615;44.494.620.361.561;44.494620361561, 11.328674717615;400;Martedì;a134
4654;10404;02/01/2024;2.19 2.19 4 1;60;30;12;20;51;50;101;314;402;411;446;466;496;462;445;530;588;609;472;381;249;155;125;116;361;1;spira;109;358;58000;VIA TOLMINO;4680;16850;4000/343434;A;24;O;90;113.156.919.816.636;444.975.833.129.702;44.4975833129702, 11.3156919816636;425;Martedì;b2[0]
4655;10405;02/01/2024;2.19 2.19 6 1;31;13;11;2;15;31;92;214;232;254;311;328;346;257;264;285;337;361;294;233;146;106;67;31;176;1;spira;567;357;57650;VIA DEL TIMAVO;4680;4701;4000/343434;A;24;N;338;113.163.420.592.928;444.977.904.881.531;44.4977904881531, 11.3163420592928;426;Martedì;b38[0]
4656;10406;02/01/2024;2.19 2.82 4 1;7;7;8;1;1;7;18;58;82;99;99;121;97;60;84;111;109;111;91;77;51;29;26;11;205;1;spira;599;7225;44650;VIA PASUBIO;14714;4566;4000/343434;A;42;O;68;113.112.946.339.157;44.500.559.242.279;44.500559242279, 11.3112946339157;431;Martedì;b26.-170
4658;10417;02/01/2024;2.31 2.82 2 1;19;9;3;6;9;20;34;81;136;153;246;286;252;216;231;226;233;228;210;185;93;71;45;22;204;1;spira;597;2642;36250;VIA MARZABOTTO;8785;4566;4000/343434;A;42;S;155;11.311.120.157.605;445.008.565.366.089;44.5008565366089, 11.311120157605;474;Martedì;b17[0]
4659;10422;02/01/2024;2.35 2.21 6 1;54;40;10;14;15;33;85;239;260;270;326;401;441;376;355;375;399;499;392;377;247;190;142;121;284;1;spira;24;8756;61550;VIALE GIOVANNI VICINI;16684;16686;4000/343434;A;21;S;194;113.268.760.258.863;44.498.954.845.287;44.498954845287, 11.3268760258863;483;Martedì;a124
4661;10425;02/01/2024;2.40 2.21 8 1;148;59;35;35;58;134;335;764;852;891;1019;1047;1130;952;1007;1073;1124;1158;1064;949;713;433;327;214;659;1;spira;1083;391;52300;VIA SABOTINO;15767;4727;4000/343434;A;393;E;269;113.237.550.845.001;444.970.385.266.486;44.4970385266486, 11.3237550845001;495;Martedì;a122
4662;10428;02/01/2024;2.82 2.19 8 1;16;8;9;2;4;10;23;71;86;109;112;106;104;106;116;127;121;137;125;102;87;43;39;22;172;1;spira;563;2748;44650;VIA PASUBIO;4565;4701;4000/343434;A;24;E;248;11.316.433.339.438;444.989.091.324.745;44.4989091324745, 11.316433339438;509;Martedì;b37
4705;10564;03/01/2024;0.127 2.19 6 1;68;29;19;26;39;59;124;323;393;437;454;475;475;377;411;446;512;478;397;352;201;137;109;124;174;1;spira;565;343;39600;VIA MONTEFIORINO;4614;4680;4000/343434;A;24;N;337;113.160.137.227.682;444.972.742.515.867;44.4972742515867, 11.3160137227682;38;Mercoledì;a11
4706;10565;03/01/2024;0.127 2.19 10 1;23;10;2;1;9;19;59;138;183;189;187;192;183;177;167;163;213;254;198;185;97;74;49;40;942;2;spira;1222;358;58000;VIA TOLMINO;4680;16850;4000/343434;A;24;NE;297;113.160.312.523.868;444.974.672.343.601;44.4974672343601, 11.3160312523868;39;Mercoledì;b38[0]
4708;10570;03/01/2024;0.127 2.33 6 1;31;18;4;7;12;30;89;218;277;267;220;230;242;222;224;244;250;281;242;235;102;81;64;56;195;1;spira;588;2729;62250;VIA VITTORIO VENETO;8814;8839;4000/343434;A;19;N;336;113.215.733.072.765;445.009.942.351.004;44.5009942351004, 11.3215733072765;60;Mercoledì;b55
4709;10571;03/01/2024;0.127 2.33 10 1;103;43;29;15;27;59;118;291;324;349;348;389;397;368;426;433;459;517;459;389;260;184;198;232;945;2;spira;1044;7235;34000;VIA INNOCENZO MALVASIA;14721;8839;4000/343434;A;19;SO;158;113.216.426.062.022;445.012.616.462.669;44.5012616462669, 11.3216426062022;61;Mercoledì;b53
4729;10657;03/01/2024;2.6 2.10 6 1;128;71;36;22;36;71;169;520;680;781;813;816;777;706;737;767;809;874;773;705;463;276;246;224;592;1;spira;541;8712;44950;VIALE CARLO PEPOLI;16659;16665;4000/343434;A;49;N;15;113.295.725.650.354;444.912.436.304.454;44.4912436304454, 11.3295725650354;499;Mercoledì;a210
4730;10658;03/01/2024;2.6 4.47 4 1;165;79;31;24;42;95;304;765;802;823;822;934;842;782;803;845;941;1046;1051;882;624;356;313;282;20;1;spira;90;8620;1350;VIALE ANTONIO ALDINI;16662;16521;4000/343434;A;49;SE;250;113.297.300.781.334;444.900.319.161.705;44.4900319161705, 11.3297300781334;501;Mercoledì;a210
4735;10670;03/01/2024;2.19 2.19 4 1;78;42;24;24;41;64;123;374;476;459;509;543;511;425;470;504;605;630;513;402;268;149;152;165;361;1;spira;109;358;58000;VIA TOLMINO;4680;16850;4000/343434;A;24;O;90;113.156.919.816.636;444.975.833.129.702;44.4975833129702, 11.3156919816636;425;Mercoledì;b2[0]
4736;10671;03/01/2024;2.19 2.19 6 1;32;20;5;4;16;35;107;225;286;312;311;351;314;291;295;312;367;387;313;303;153;119;77;69;176;1;spira;567;357;57650;VIA DEL TIMAVO;4680;4701;4000/343434;A;24;N;338;113.163.420.592.928;444.977.904.881.531;44.4977904881531, 11.3163420592928;426;Mercoledì;b38[0]
4737;10672;03/01/2024;2.19 2.19 7 1;49;25;3;2;17;41;147;389;442;449;455;446;426;368;427;440;481;636;531;463;290;158;128;91;789;1;spira;1133;4219;25430;VIALE M. KARAMCHAND GANDHI;16850;4568;4000/343434;A;399;;253;1.131.326.041.783;444.978.561.467.662;44.4978561467662, 11.31326041783;427;Mercoledì;b2[1][0]
4738;10673;03/01/2024;2.19 2.20 8 1;135;63;38;33;59;124;338;788;901;869;930;966;1003;818;863;913;995;1133;1055;883;668;358;292;226;359;1;spira;107;4231;58000;VIA TOLMINO;4680;4679;4000/343434;A;24;E;270;113.165.523.765.202;444.974.351.312.945;44.4974351312945, 11.3165523765202;429;Mercoledì;a71
4743;10690;03/01/2024;2.35 1.9 2 1;53;31;19;20;23;54;95;211;284;303;361;347;316;275;268;283;338;301;293;259;186;114;123;77;286;1;spira;26;4615;22100;VIA S.FELICE;15231;15635;4000/343434;A;21;SE;245;113.278.724.580.295;444.989.805.631.524;44.4989805631524, 11.3278724580295;482;Mercoledì;a55
4746;10694;03/01/2024;2.38 3.7 8 1;112;62;40;31;55;103;212;558;693;655;705;697;651;577;599;667;750;674;659;659;407;264;203;193;72;1;spira;326;8781;54950;VIALE ANTONIO SILVANI;16695;16698;4000/343434;A;151;NE;307;11.330.518.010.785;445.010.668.033.697;44.5010668033697, 11.330518010785;491;Mercoledì;a204[1][1]
4801;10956;04/01/2024;2.38 2.35 4 1;187;125;73;24;39;70;140;397;480;608;659;728;773;693;642;825;856;984;893;733;543;377;384;348;73;1;spira;327;2973;54950;VIALE ANTONIO SILVANI;10159;15234;4000/343434;A;151;SO;125;113.294.927.544.257;445.007.251.431.592;44.5007251431592, 11.3294927544257;490;Giovedì;a203[0]
4802;10957;04/01/2024;2.38 3.7 8 1;97;58;46;31;48;78;207;538;687;678;715;728;695;558;629;652;688;724;643;538;453;260;238;187;72;1;spira;326;8781;54950;VIALE ANTONIO SILVANI;16695;16698;4000/343434;A;151;NE;307;11.330.518.010.785;445.010.668.033.697;44.5010668033697, 11.330518010785;491;Giovedì;a204[1][1]
4856;11094;05/01/2024;0.127 2.6 10 1;53;23;5;4;4;14;33;110;158;183;214;240;199;190;197;195;212;223;275;310;172;61;55;76;955;1;spira;1253;8709;1350;VIALE ANTONIO ALDINI;16657;16652;4000/343435;A;49;NO;5;1.132.963.801;4.449.047.298;44.49047298, 11.32963801;74;Venerdì;a210
4859;11099;05/01/2024;0.127 2.10 10 2;23;11;12;2;7;16;42;57;93;105;120;126;147;121;111;123;133;154;120;138;109;75;68;97;918;2;spira;1096;8750;61550;VIALE GIOVANNI VICINI;16683;16679;4000/343434;A;338;SE;195;11.328.173.238.949;444.948.641.751.239;44.4948641751239, 11.328173238949;28;Venerdì;a201
4863;11106;05/01/2024;0.127 2.31 1 1;5;4;5;4;9;5;29;52;52;62;59;47;76;48;56;48;50;45;52;45;42;10;14;35;614;1;spira;948;2742;41430;LARGO BARTOLO NIGRISOLI;8761;15769;4000/343434;A;301;S;155;113.156.585.697.439;445.039.310.321.156;44.5039310321156, 11.3156585697439;54;Venerdì;b71
4864;11107;05/01/2024;0.127 2.31 6 1;6;6;0;1;4;3;7;22;44;50;44;43;69;50;50;36;37;51;59;75;53;36;18;41;191;1;spira;583;7675;16750;VIA CIMABUE;15441;8846;4000/343434;A;302;N;335;11.314.438.289.839;445.033.998.910.462;44.5033998910462, 11.314438289839;56;Venerdì;b31
4867;11113;05/01/2024;0.127 2.73 2 1;29;13;8;3;9;17;39;96;138;170;147;144;255;217;97;195;206;190;242;310;201;116;108;129;201;1;spira;594;257;4450;VIA IRMA BANDIERA;4597;4598;4000/343434;A;41;S;157;113.126.409.560.121;444.920.995.509.245;44.4920995509245, 11.3126409560121;79;Venerdì;a103
4909;11215;05/01/2024;2.6 2.10 6 1;180;101;69;35;44;48;185;502;699;786;784;889;903;709;745;895;895;909;902;1054;820;465;406;412;592;1;spira;541;8712;44950;VIALE CARLO PEPOLI;16659;16665;4000/343434;A;49;N;15;113.295.725.650.354;444.912.436.304.454;44.4912436304454, 11.3295725650354;499;Venerdì;a210
